#seed, collType, nodes, rate, size, sent, coll, lost, lostErr, noAck, ackLost, time, DER1, DER2, Energy, Fair, SFs, Type
42, 2, 100, 300.0, 32, 296, 2, 78, 0, 0, 57, 100000.0, 0.5372, 0.5372, 19.5756, 0.8229, 13_10_21_39_17_0, BASE
42, 2, 100, 300.0, 32, 303, 0, 81, 0, 0, 57, 100000.0, 0.5446, 0.5446, 25.6184, 0.8279, 15_15_25_19_17_9, MODIFIED
42, 2, 200, 300.0, 32, 584, 1, 163, 0, 2, 96, 100000.0, 0.5514, 0.5514, 38.7495, 0.8291, 24_19_40_87_30_0, BASE
42, 2, 200, 300.0, 32, 559, 1, 140, 0, 4, 84, 100000.0, 0.5903, 0.5903, 44.4206, 0.8441, 27_31_51_47_37_7, MODIFIED
42, 2, 300, 300.0, 32, 872, 12, 214, 34, 5, 139, 100000.0, 0.5367, 0.5367, 65.1503, 0.8246, 26_39_53_129_53_0, BASE
42, 2, 300, 300.0, 32, 847, 5, 209, 0, 5, 142, 100000.0, 0.5738, 0.5738, 75.6023, 0.8461, 39_39_89_65_49_19, MODIFIED
42, 2, 400, 300.0, 32, 1155, 6, 324, 0, 3, 193, 100000.0, 0.5446, 0.5446, 86.6182, 0.8212, 37_39_85_179_60_0, BASE
42, 2, 400, 300.0, 32, 1198, 18, 275, 58, 4, 167, 100000.0, 0.5643, 0.5643, 115.4515, 0.8537, 64_51_109_86_65_25, MODIFIED
42, 2, 500, 300.0, 32, 1476, 23, 406, 0, 5, 247, 100000.0, 0.5386, 0.5386, 108.0433, 0.8232, 53_50_120_190_87_0, BASE
42, 2, 500, 300.0, 32, 1455, 30, 366, 0, 5, 234, 100000.0, 0.5636, 0.5636, 130.7269, 0.8395, 63_53_135_129_92_28, MODIFIED
42, 2, 600, 300.0, 32, 1775, 31, 505, 0, 5, 288, 100000.0, 0.5330, 0.5330, 129.0364, 0.8172, 70_60_124_245_101_0, BASE
42, 2, 600, 300.0, 32, 1658, 33, 411, 1, 9, 225, 100000.0, 0.5905, 0.5905, 143.1374, 0.8517, 80_89_139_146_116_30, MODIFIED
42, 2, 700, 300.0, 32, 2016, 50, 537, 1, 16, 334, 100000.0, 0.5347, 0.5347, 148.5664, 0.8196, 79_67_150_299_105_0, BASE
42, 2, 700, 300.0, 32, 1984, 25, 516, 0, 8, 289, 100000.0, 0.5776, 0.5776, 182.7449, 0.8475, 101_91_163_189_120_36, MODIFIED
42, 2, 800, 300.0, 32, 2298, 62, 578, 1, 11, 403, 100000.0, 0.5409, 0.5409, 179.0601, 0.8186, 78_78_161_333_150_0, BASE
42, 2, 800, 300.0, 32, 2279, 54, 579, 0, 8, 337, 100000.0, 0.5709, 0.5709, 205.9471, 0.8470, 111_100_189_184_159_57, MODIFIED
42, 2, 900, 300.0, 32, 2710, 66, 755, 1, 11, 464, 100000.0, 0.5214, 0.5214, 198.6122, 0.8098, 96_89_209_375_131_0, BASE
42, 2, 900, 300.0, 32, 2673, 76, 684, 45, 9, 405, 100000.0, 0.5440, 0.5440, 247.1264, 0.8324, 104_120_213_220_158_85, MODIFIED
42, 2, 1000, 300.0, 32, 2897, 79, 783, 0, 14, 460, 100000.0, 0.5388, 0.5388, 216.9793, 0.8192, 113_103_206_422_156_0, BASE
42, 2, 1000, 300.0, 32, 2857, 77, 708, 0, 15, 422, 100000.0, 0.5723, 0.5723, 273.6736, 0.8457, 128_131_220_250_188_83, MODIFIED
42, 2, 1100, 300.0, 32, 3285, 96, 903, 0, 13, 590, 100000.0, 0.5123, 0.5123, 245.9065, 0.8110, 108_119_238_461_174_0, BASE
42, 2, 1100, 300.0, 32, 3226, 91, 806, 1, 12, 518, 100000.0, 0.5573, 0.5573, 294.2888, 0.8408, 147_157_280_239_209_68, MODIFIED
42, 2, 1200, 300.0, 32, 3573, 112, 982, 0, 21, 600, 100000.0, 0.5200, 0.5200, 265.6507, 0.8104, 134_125_264_490_187_0, BASE
42, 2, 1200, 300.0, 32, 3460, 119, 826, 55, 15, 505, 100000.0, 0.5607, 0.5607, 324.1486, 0.8451, 152_160_329_265_228_66, MODIFIED
42, 2, 1300, 300.0, 32, 3885, 138, 1038, 7, 22, 651, 100000.0, 0.5223, 0.5223, 295.9626, 0.8153, 139_153_262_528_218_0, BASE
42, 2, 1300, 300.0, 32, 3656, 121, 895, 0, 8, 522, 100000.0, 0.5771, 0.5771, 340.3358, 0.8462, 178_201_286_282_271_82, MODIFIED
42, 2, 1400, 300.0, 32, 4193, 180, 1138, 0, 12, 683, 100000.0, 0.5199, 0.5199, 322.6281, 0.8172, 137_129_293_599_242_0, BASE
42, 2, 1400, 300.0, 32, 4082, 154, 996, 0, 21, 609, 100000.0, 0.5639, 0.5639, 384.9156, 0.8433, 199_200_333_324_262_82, MODIFIED
42, 2, 1500, 300.0, 32, 4561, 189, 1278, 1, 18, 767, 100000.0, 0.5060, 0.5060, 346.8040, 0.8072, 155_163_310_632_240_0, BASE
42, 2, 1500, 300.0, 32, 4291, 154, 1080, 2, 19, 622, 100000.0, 0.5626, 0.5626, 400.0522, 0.8423, 203_189_356_339_294_119, MODIFIED
42, 2, 1600, 300.0, 32, 4791, 227, 1294, 2, 25, 796, 100000.0, 0.5107, 0.5107, 362.7192, 0.8097, 163_169_333_698_237_0, BASE
42, 2, 1600, 300.0, 32, 4712, 219, 1161, 0, 21, 706, 100000.0, 0.5528, 0.5528, 448.2110, 0.8381, 197_219_396_362_305_121, MODIFIED
42, 2, 1700, 300.0, 32, 5217, 189, 1423, 3, 28, 916, 100000.0, 0.5095, 0.5095, 395.1041, 0.8098, 171_191_389_681_268_0, BASE
42, 2, 1700, 300.0, 32, 4966, 181, 1224, 0, 17, 757, 100000.0, 0.5612, 0.5612, 477.8732, 0.8388, 261_229_392_391_301_126, MODIFIED
42, 2, 1800, 300.0, 32, 5325, 288, 1389, 15, 27, 840, 100000.0, 0.5194, 0.5194, 416.5053, 0.8164, 219_183_351_714_333_0, BASE
42, 2, 1800, 300.0, 32, 5309, 253, 1249, 100, 23, 738, 100000.0, 0.5549, 0.5549, 536.3671, 0.8406, 230_249_384_437_353_147, MODIFIED
42, 2, 1900, 300.0, 32, 5702, 271, 1534, 12, 34, 910, 100000.0, 0.5158, 0.5158, 436.3139, 0.8131, 197_187_422_801_293_0, BASE
42, 2, 1900, 300.0, 32, 5478, 291, 1305, 0, 29, 780, 100000.0, 0.5610, 0.5610, 513.1558, 0.8424, 279_243_419_450_352_157, MODIFIED
42, 2, 2000, 300.0, 32, 6191, 316, 1722, 20, 39, 1040, 100000.0, 0.4933, 0.4933, 470.1805, 0.8029, 236_213_404_837_310_0, BASE
42, 2, 2000, 300.0, 32, 5897, 289, 1472, 1, 35, 836, 100000.0, 0.5535, 0.5535, 567.4109, 0.8380, 247_281_426_439_452_155, MODIFIED
